From_NL,From_UTC,Granularity,Total_Allocation_kWh,Total_Allocation_MWh,Buy_kW,Sell_kW,Buy_MW,Sell_MW,Abs_Traded_Volume_kWh,Abs_Traded_Volume_MWh,Price_Eur,PriceUpperThresholdInEuro,Traded_Eur,Traded_Volume_MWh,Abs_Traded_Eur,Sell_Profit,Buy_Costs,ID_Result_on_EPEX,Nett_Trading_Result,ID_Result_on_Imbalance,ID_Result,Tenant,Imbalance_Short_EurMWh,Imbalance_Long_EurMWh,EPEX_EurkWh,EPEX_EurMWh
01/12/2023 00:00,30/11/2023 23:00,0,45242.362,45.242362,,,,,,,,,,,,,,,,,,0,115.54,79.19,0.10691,106.91
01/12/2023 00:00,30/11/2023 23:00,0,1415.335,1.415335,,,,,,,,,,,,,,,,,,1,115.54,79.19,0.10691,106.91
01/12/2023 00:15,30/11/2023 23:15,0,44778.074,44.778074,,,,,,,,,,,,,,,,,,0,123.29,123.29,0.10691,106.91
01/12/2023 00:15,30/11/2023 23:15,0,1371.83,1.37183,,,,,,,,,,,,,,,,,,1,123.29,123.29,0.10691,106.91
01/12/2023 00:30,30/11/2023 23:30,0,44128.644,44.128644,,,,,,,,,,,,,,,,,,0,94.8,79.27,0.10691,106.91
01/12/2023 00:30,30/11/2023 23:30,0,1354.497,1.354497,,,,,,,,,,,,,,,,,,1,94.8,79.27,0.10691,106.91
01/12/2023 00:45,30/11/2023 23:45,0,43716.549,43.716549,,,,,,,,,,,,,,,,,,0,81.22,81.22,0.10691,106.91
01/12/2023 00:45,30/11/2023 23:45,0,1323.599,1.323599,,,,,,,,,,,,,,,,,,1,81.22,81.22,0.10691,106.91
01/12/2023 01:00,01/12/2023 00:00,0,43498.231,43.498231,,,,,,,,,,,,,,,,,,0,98.28,98.28,0.10263,102.63
01/12/2023 01:00,01/12/2023 00:00,0,1328.719,1.328719,,,,,,,,,,,,,,,,,,1,98.28,98.28,0.10263,102.63
01/12/2023 01:15,01/12/2023 00:15,0,43186.905,43.186905,,,,,,,,,,,,,,,,,,0,99.67,99.67,0.10263,102.63
01/12/2023 01:15,01/12/2023 00:15,0,1303.975,1.303975,,,,,,,,,,,,,,,,,,1,99.67,99.67,0.10263,102.63
01/12/2023 01:30,01/12/2023 00:30,0,42704.061,42.704061,,,,,,,,,,,,,,,,,,0,86.66,86.66,0.10263,102.63
01/12/2023 01:30,01/12/2023 00:30,0,1281.74,1.28174,,,,,,,,,,,,,,,,,,1,86.66,86.66,0.10263,102.63
01/12/2023 01:45,01/12/2023 00:45,0,42504.864,42.504864,,,,,,,,,,,,,,,,,,0,90.28,90.28,0.10263,102.63
01/12/2023 01:45,01/12/2023 00:45,0,1262.768,1.262768,,,,,,,,,,,,,,,,,,1,90.28,90.28,0.10263,102.63
01/12/2023 02:00,01/12/2023 01:00,0,42634.425,42.634425,,,,,,,,,,,,,,,,,,0,110.22,91.66,0.0991,99.1
