datum,PTE,periode_van,periode_tm,indicatie noodvermogen op,indicatie noodvermogen af,opregelen,Afregelen,prikkelcomponent,Afnemen,invoeden,regeltoestand
01/12/2023,1,00:00,00:15,,,115.54,79.19,0,115.54,79.19,2
01/12/2023,2,00:15,00:30,,,123.29,,0,123.29,123.29,1
01/12/2023,3,00:30,00:45,,,94.8,104.53,0,94.8,79.27,2
01/12/2023,4,00:45,01:00,,,,81.22,0,81.22,81.22,-1
01/12/2023,5,01:00,01:15,,,,98.28,0,98.28,98.28,-1
01/12/2023,6,01:15,01:30,,,,,0,99.67,99.67,0
01/12/2023,7,01:30,01:45,,,,86.66,0,86.66,86.66,-1
01/12/2023,8,01:45,02:00,,,,90.28,0,90.28,90.28,-1
01/12/2023,9,02:00,02:15,,,110.22,91.66,0,110.22,91.66,2
01/12/2023,10,02:15,02:30,,,104.22,,0,104.22,104.22,1
01/12/2023,11,02:30,02:45,,,103.01,,0,103.01,103.01,1
01/12/2023,12,02:45,03:00,,,100.23,,0,100.23,100.23,1
01/12/2023,13,03:00,03:15,,,105.23,,0,105.23,105.23,1
01/12/2023,14,03:15,03:30,,,104.22,,0,104.22,104.22,1
01/12/2023,15,03:30,03:45,,,100.23,,0,100.23,100.23,1
01/12/2023,16,03:45,04:00,,,,84.22,0,84.22,84.22,-1
01/12/2023,17,04:00,04:15,,,,84.22,0,84.22,84.22,-1
01/12/2023,18,04:15,04:30,,,,90.68,0,90.68,90.68,-1
01/12/2023,19,04:30,04:45,,,,88.13,0,88.13,88.13,-1
01/12/2023,20,04:45,05:00,,,,84.22,0,84.22,84.22,-1
01/12/2023,21,05:00,05:15,,,,80.69,0,80.69,80.69,-1
01/12/2023,22,05:15,05:30,,,,80.76,0,80.76,80.76,-1
01/12/2023,23,05:30,05:45,,,,80.69,0,80.69,80.69,-1
01/12/2023,24,05:45,06:00,,,,80.69,0,80.69,80.69,-1
01/12/2023,25,06:00,06:15,,,,67.38,0,67.38,67.38,-1
01/12/2023,26,06:15,06:30,,,,67.83,0,67.83,67.83,-1
01/12/2023,27,06:30,06:45,,,,88.66,0,88.66,88.66,-1
01/12/2023,28,06:45,07:00,,,,104.53,0,104.53,104.53,-1
01/12/2023,29,07:00,07:15,,,,25.69,0,25.69,25.69,-1
01/12/2023,30,07:15,07:30,,,,98.2,0,98.2,98.2,-1
01/12/2023,31,07:30,07:45,,,,,0,99.17,99.17,0
01/12/2023,32,07:45,08:00,,,109.98,,0,109.98,109.98,1
01/12/2023,33,08:00,08:15,,,109.98,101.55,0,101.55,101.55,-1
01/12/2023,34,08:15,08:30,,,,,0,102.48,102.48,0
01/12/2023,35,08:30,08:45,,,105.1,,0,105.1,105.1,1
01/12/2023,36,08:45,09:00,,,117.1,,0,117.1,117.1,1
01/12/2023,37,09:00,09:15,,,,,0,102.48,102.48,0
01/12/2023,38,09:15,09:30,,,,,0,102.49,102.49,0
01/12/2023,39,09:30,09:45,,,,,0,102.48,102.48,0
01/12/2023,40,09:45,10:00,,,123.85,,0,123.85,123.85,1
01/12/2023,41,10:00,10:15,,,601.46,,0,601.46,601.46,1
01/12/2023,42,10:15,10:30,,,174.3,,0,174.3,174.3,1
01/12/2023,43,10:30,10:45,,,184.3,,0,184.3,184.3,1
01/12/2023,44,10:45,11:00,,,251.84,,0,251.84,251.84,1
01/12/2023,45,11:00,11:15,,,601.46,,0,601.46,601.46,1
01/12/2023,46,11:15,11:30,,,226.8,,0,226.8,226.8,1
01/12/2023,47,11:30,11:45,,,264.69,,0,264.69,264.69,1
01/12/2023,48,11:45,12:00,,,157.09,,0,157.09,157.09,1
01/12/2023,49,12:00,12:15,,,146.72,,0,146.72,146.72,1
01/12/2023,50,12:15,12:30,,,292,,0,292,292,1
01/12/2023,51,12:30,12:45,,,161.85,,0,161.85,161.85,1
01/12/2023,52,12:45,13:00,,,129.43,104.53,0,104.53,104.53,-1
01/12/2023,53,13:00,13:15,,,124.54,104.53,0,124.54,124.54,1
