,EPEX,temperature_forecast,temperature_actual,solar_forecast,solar_actual,wind_forecast,wind_actual,consumption_forecast,consumption_actual,total_forecast,total_actual,Trading_Volume,Allocatie_volume
10/12/2023 00:00,33.78,12,12,16.59469769,13.709347,-3.10470825,-2.646324,28.086355,26.298282,41.57634444,37.361305,0,37.766743
10/12/2023 00:15,33.78,12,12,16.37466092,13.549368,-3.15080034,-2.751417,27.577632,25.723217,40.80149258,36.521168,0,36.938098
10/12/2023 00:30,33.78,12,12,16.28504075,13.174174,-3.20785926,-2.883706,27.127708,25.218518,40.20488949,35.508986,0,35.91839
10/12/2023 00:45,33.78,12,12,16.18378335,12.863946,-3.24594681,-3.420326,26.649957,24.806034,39.58779354,34.249654,0,34.642657
10/12/2023 01:00,21.34,11,12,16.10045429,12.834195,-3.29379654,-3.180842,26.378612,24.552384,39.18526975,34.205737,0,34.603372
10/12/2023 01:15,21.34,11,12,15.91038667,12.864409,-3.30680465,-2.98734,26.140345,24.204861,38.74392702,34.08193,0,34.476934
10/12/2023 01:30,21.34,11,12,15.78037605,12.924131,-3.31220751,-3.132031,25.802381,23.924796,38.27054954,33.716896,0,34.107209
10/12/2023 01:45,21.34,11,12,15.69036861,12.79867,-3.36365556,-3.145627,25.435136,23.660183,37.76184905,33.313226,0,33.710862
10/12/2023 02:00,12.49,11,12,15.6603508,12.948062,-3.37559927,-2.991824,25.364494,23.742654,37.64924553,33.698892,0,34.096541
10/12/2023 02:15,12.49,11,12,15.75030888,12.85596,-3.40527655,-3.061654,25.227895,23.562659,37.57292733,33.356965,0,33.739381
10/12/2023 02:30,12.49,11,12,15.62006702,12.652408,-3.4330394,-3.020402,24.915052,23.3047,37.10207962,32.936706,0,33.31513
10/12/2023 02:45,12.49,11,12,15.50064085,12.593313,-3.43881763,-3.064599,24.721232,23.169818,36.78305522,32.698532,0,33.075469
10/12/2023 03:00,6.37,11,12,15.65019878,12.617672,-3.49298237,-3.241629,24.756845,23.206375,36.91406141,32.582418,0,32.961478
10/12/2023 03:15,6.37,11,12,15.54978714,12.666837,-3.54102799,-3.224559,24.622528,23.188857,36.63128715,32.631135,0,33.013813
10/12/2023 03:30,6.37,11,12,15.70049097,12.63782,-3.59185586,-3.102786,24.393193,23.118418,36.50182811,32.653452,0,33.030544
10/12/2023 03:45,6.37,11,12,15.78039525,12.514328,-3.62825345,-3.028978,24.325103,22.912055,36.4772448,32.397405,0,32.76849
10/12/2023 04:00,9.36,11,12,15.82031046,12.553293,-3.65010486,-3.133955,24.358146,22.847361,36.5283516,32.266699,0,32.630369
10/12/2023 04:15,9.36,11,12,15.76054175,12.562925,-3.66606837,-3.250742,24.475367,22.938484,36.56984038,32.250667,0,32.62191
10/12/2023 04:30,9.36,11,12,15.81000929,12.618065,-3.66105829,-3.403416,24.304198,22.822827,36.453149,32.037476,0,32.402477
10/12/2023 04:45,9.36,11,12,15.6807982,12.602292,-3.67814319,-3.528397,24.315771,22.744392,36.31842601,31.818287,0,32.178917
10/12/2023 05:00,17.54,11,12,15.98868047,12.784309,-3.68895615,-3.533782,24.560975,22.856424,36.86069932,32.106951,0,32.472543
10/12/2023 05:15,17.54,11,12,16.19846679,12.920231,-3.7200061,-3.712908,24.555552,22.794173,37.03401269,32.001496,0,32.365026
10/12/2023 05:30,17.54,11,12,16.46850608,13.069189,-3.73130094,-3.788786,24.770707,22.94392,37.50791214,32.224323,0,32.595
10/12/2023 05:45,17.54,11,12,16.70774584,13.209956,-3.74809661,-3.791476,24.924167,23.230284,37.88381623,32.648764,0,33.023511
10/12/2023 06:00,23.84,11,12,17.00787793,13.685207,-3.76984601,-3.752684,25.390298,23.687451,38.62832992,33.619974,0,34.008326
10/12/2023 06:15,23.84,11,12,17.31755848,13.966296,-3.78926836,-3.674119,25.824299,23.88577,39.35258912,34.177947,0,34.576164
10/12/2023 06:30,23.84,11,12,17.80841371,14.337476,-3.79373824,-3.373584,26.084164,24.282126,40.09883947,35.246018,0,35.645184
