,Epex,temperature_forecast,temperature_actual,solar_forecast,solar_actual,wind_forecast,wind_actual,consumption_forecast,consumption_actual,total_forecast,total_actual,Trading_Volume,Allocatie_volume
10/12/2023 00:00,33.78,12,12,,,,,,,,,0,37.766743
10/12/2023 00:15,33.78,12,12,,,,,,,,,0,36.938098
10/12/2023 00:30,33.78,12,12,,,,,,,,,0,35.91839
10/12/2023 00:45,33.78,12,12,,,,,,,,,0,34.642657
10/12/2023 01:00,21.34,11,12,,,,,,,,,0,34.603372
10/12/2023 01:15,21.34,11,12,,,,,,,,,0,34.476934
10/12/2023 01:30,21.34,11,12,,,,,,,,,0,34.107209
10/12/2023 01:45,21.34,11,12,,,,,,,,,0,33.710862
10/12/2023 02:00,12.49,11,12,,,,,,,,,0,34.096541
10/12/2023 02:15,12.49,11,12,,,,,,,,,0,33.739381
10/12/2023 02:30,12.49,11,12,,,,,,,,,0,33.31513
10/12/2023 02:45,12.49,11,12,,,,,,,,,0,33.075469
10/12/2023 03:00,6.37,11,12,,,,,,,,,0,32.961478
10/12/2023 03:15,6.37,11,12,,,,,,,,,0,33.013813
10/12/2023 03:30,6.37,11,12,,,,,,,,,0,33.030544
10/12/2023 03:45,6.37,11,12,,,,,,,,,0,32.76849
10/12/2023 04:00,9.36,11,12,,,,,,,,,0,32.630369
10/12/2023 04:15,9.36,11,12,,,,,,,,,0,32.62191
10/12/2023 04:30,9.36,11,12,,,,,,,,,0,32.402477
10/12/2023 04:45,9.36,11,12,,,,,,,,,0,32.178917
10/12/2023 05:00,17.54,11,12,,,,,,,,,0,32.472543
10/12/2023 05:15,17.54,11,12,,,,,,,,,0,32.365026
10/12/2023 05:30,17.54,11,12,,,,,,,,,0,32.595
10/12/2023 05:45,17.54,11,12,,,,,,,,,0,33.023511
10/12/2023 06:00,23.84,11,12,,,,,,,,,0,34.008326
10/12/2023 06:15,23.84,11,12,,,,,,,,,0,34.576164
10/12/2023 06:30,23.84,11,12,,,,,,,,,0,35.645184
10/12/2023 06:45,23.84,11,12,,,,,,,,,0,35.799779
10/12/2023 07:00,41.85,12,12,,,,,,,,,0,36.782484
10/12/2023 07:15,41.85,12,12,,,,,,,,,0,37.469121
10/12/2023 07:30,41.85,13,13,,,,,,,,,0,38.185289
10/12/2023 07:45,41.85,13,13,,,,,,,,,0,38.961381
10/12/2023 08:00,59.67,13,14,,,,,,,,,-1,39.635929
10/12/2023 08:15,59.67,13,14,,,,,,,,,-1,40.065569
10/12/2023 08:30,59.67,14,14,,,,,,,,,-1,40.559523
10/12/2023 08:45,59.67,14,14,,,,,,,,,-1,40.479239
10/12/2023 09:00,66.24,15,15,,,,,,,,,-5,40.960313
10/12/2023 09:15,66.24,15,15,,,,,,,,,-5,40.168244
10/12/2023 09:30,66.24,15,15,,,,,,,,,-5,38.793442
10/12/2023 09:45,66.24,15,15,,,,,,,,,-5,37.675101
10/12/2023 10:00,68.01,15,15,,,,,,,,,-5,36.520928
10/12/2023 10:15,68.01,15,15,,,,,,,,,-5,34.591617
10/12/2023 10:30,68.01,16,16,,,,,,,,,-5,32.369274
10/12/2023 10:45,68.01,16,16,,,,,,,,,-5,30.637743
10/12/2023 11:00,67.96,17,16,,,,,,,,,3.75,29.42097
10/12/2023 11:15,67.96,17,17,,,,,,,,,3.75,27.846443
10/12/2023 11:30,67.96,17,17,,,,,,,,,3.75,26.689098
10/12/2023 11:45,67.96,17,17,,,,,,,,,3.75,25.95505
10/12/2023 12:00,66.38,17,17,,,,,,,,,3.75,25.931155
10/12/2023 12:15,66.38,17,17,,,,,,,,,3.75,26.375332
10/12/2023 12:30,66.38,18,18,,,,,,,,,3.75,28.371149
10/12/2023 12:45,66.38,18,18,,,,,,,,,3.75,29.879383
10/12/2023 13:00,64.73,18,18,,,,,,,,,0,33.762982
10/12/2023 13:15,64.73,18,18,,,,,,,,,0,37.251981
10/12/2023 13:30,64.73,19,19,,,,,,,,,0,38.410575
10/12/2023 13:45,64.73,19,19,,,,,,,,,0,39.129443
10/12/2023 14:00,68.98,19,20,,,,,,,,,0,41.149787
10/12/2023 14:15,68.98,19,20,,,,,,,,,0,43.048574
10/12/2023 14:30,68.98,19,20,,,,,,,,,0,44.492399
10/12/2023 14:45,68.98,19,20,,,,,,,,,0,46.38235
10/12/2023 15:00,75.84,20,20,,,,,,,,,0,47.874738
10/12/2023 15:15,75.84,20,20,,,,,,,,,0,49.737808
10/12/2023 15:30,75.84,20,20,,,,,,,,,0,50.745332
10/12/2023 15:45,75.84,20,20,,,,,,,,,0,52.043005
10/12/2023 16:00,80.3,20,20,,,,,,,,,0,53.300469
10/12/2023 16:15,80.3,20,20,,,,,,,,,0,53.839362
10/12/2023 16:30,80.3,20,20,,,,,,,,,0,53.851084
10/12/2023 16:45,80.3,20,20,,,,,,,,,0,54.389877
10/12/2023 17:00,80.3,19,19,,,,,,,,,0,54.381027
10/12/2023 17:15,80.3,19,19,,,,,,,,,0,54.049297
10/12/2023 17:30,80.3,20,20,,,,,,,,,0,53.447757
10/12/2023 17:45,80.3,20,20,,,,,,,,,0,53.217911
10/12/2023 18:00,85.42,19,19,,,,,,,,,0,53.340376
10/12/2023 18:15,85.42,19,19,,,,,,,,,0,53.403776
10/12/2023 18:30,85.42,18,19,,,,,,,,,0,52.877394
10/12/2023 18:45,85.42,18,19,,,,,,,,,0,52.705228
10/12/2023 19:00,80.76,18,18,,,,,,,,,0,52.046064
10/12/2023 19:15,80.76,18,18,,,,,,,,,0,51.923965
10/12/2023 19:30,80.76,18,18,,,,,,,,,0,51.402142
10/12/2023 19:45,80.76,18,18,,,,,,,,,0,50.898886
10/12/2023 20:00,78.05,17,17,,,,,,,,,0,50.401221
10/12/2023 20:15,78.05,17,17,,,,,,,,,0,49.630564
10/12/2023 20:30,78.05,16,16,,,,,,,,,0,48.29475
10/12/2023 20:45,78.05,16,16,,,,,,,,,0,47.046849
10/12/2023 21:00,77.06,15,16,,,,,,,,,0,45.82694
10/12/2023 21:15,77.06,15,16,,,,,,,,,0,44.339516
10/12/2023 21:30,77.06,15,15,,,,,,,,,0,43.654929
10/12/2023 21:45,77.06,15,15,,,,,,,,,0,42.597048
10/12/2023 22:00,77.47,14,14,,,,,,,,,0,41.963205
10/12/2023 22:15,77.47,14,14,,,,,,,,,0,41.299362
10/12/2023 22:30,77.47,13,14,,,,,,,,,0,40.324094
10/12/2023 22:45,77.47,13,14,,,,,,,,,0,39.23919
10/12/2023 23:00,67.15,13,14,,,,,,,,,0,38.422661
10/12/2023 23:15,67.15,13,14,,,,,,,,,0,37.709704
10/12/2023 23:30,67.15,12,14,,,,,,,,,0,36.701243
10/12/2023 23:45,67.15,12,14,,,,,,,,,0,35.616245
