From_NL,Imbalance_Costs,Tennet_Bill,Cumulative_Imbalance
10/12/2023 10:45,-221.08518,-48.4758,-221.08518
10/12/2023 11:00,-16.78842,-120.69926,-237.8736
10/12/2023 11:15,156.93824,-54.0096,-80.93536
10/12/2023 11:30,147.98453,-141.59303,67.04917
10/12/2023 11:45,554.99445,215.53425,622.04362
10/12/2023 12:00,472.63704,215.81282,1094.68066
10/12/2023 12:15,345.68525,118.33375,1440.36591
10/12/2023 12:30,144.24326,49.38624,1584.60917
10/12/2023 12:45,30.63424,35.94464,1615.24341
10/12/2023 13:00,35.82473,90.06847,1651.06814
10/12/2023 13:15,30.85151,310.93822,1681.91965
10/12/2023 13:30,39.10805,394.1521,1721.0277
10/12/2023 13:45,44.24165,445.8913,1765.26935
10/12/2023 14:00,-1.68,-43.068,1763.58935
10/12/2023 14:15,44.30889,133.91391,1807.89824
10/12/2023 14:30,132.93216,322.07532,1940.8304
10/12/2023 14:45,213.58152,533.09688,2154.41192
10/12/2023 15:00,-19.96875,-256.96875,2134.44317
10/12/2023 15:15,-9.33357,-105.11949,2125.1096000000002
10/12/2023 15:30,-1.87706,-21.14042,2123.2325400000004
10/12/2023 15:45,-52.29602,26.8051,2070.93652
10/12/2023 16:00,762.18242,418.98022,2833.1189400000003
10/12/2023 16:15,1066.21704,766.21624,3899.3359800000003
10/12/2023 16:30,671.4372,372.4,4570.77318
10/12/2023 16:45,574.2555,318.5,5145.02868
10/12/2023 17:00,606.90919,284.18349,5751.937870000001
10/12/2023 17:15,767.21183,417.82653,6519.149700000001
10/12/2023 17:30,520.50472,122.85912,7039.654420000001
10/12/2023 17:45,110.79116,-305.32344,7150.4455800000005
10/12/2023 18:00,70.12194,-289.41084,7220.5675200000005
10/12/2023 18:15,-67.7871,-421.93842,7152.780420000001
10/12/2023 18:30,-115.91232,-514.99456,7036.868100000001
10/12/2023 18:45,-421.37956,-835.15404,6615.48854
10/12/2023 19:00,-317.68266,-610.7607,6297.80588
