From_NL,ImbalanceTennetCosts,ImbalanceCosts,Cumulative_Imbalance_new
2023-11-28 00:00:00,876.3172,652.73696,652.73696
2023-11-28 00:15:00,383.656,190.8608,843.59776
2023-11-28 00:30:00,213.45912,79.59084,923.1886
2023-11-28 00:45:00,80.10748,-7.27228,915.9163199999999
2023-11-28 01:00:00,303.666,121.8018,1037.71812
2023-11-28 01:15:00,269.19024,111.01068,1148.7288
2023-11-28 01:30:00,282.30048,140.19264,1288.92144
2023-11-28 01:45:00,285.34374,140.90973,1429.8311700000002
2023-11-28 02:00:00,470.288,265.1792,1695.0103700000002
2023-11-28 02:15:00,325.1376,121.71555,1816.72592
2023-11-28 02:30:00,321.79456,120.46408,1937.19
2023-11-28 02:45:00,288.56827,76.77994,2013.96994
2023-11-28 03:00:00,360.91718,107.69018,2121.66012
2023-11-28 03:15:00,353.10313,105.35863,2227.01875
2023-11-28 03:30:00,379.94669,113.36819,2340.3869400000003
2023-11-28 03:45:00,394.74742,117.78442,2458.1713600000003
2023-11-28 04:00:00,312.66054,44.89545,2503.0668100000003
2023-11-28 04:15:00,315.69066,45.33055,2548.3973600000004
2023-11-28 04:30:00,337.77864,48.5022,2596.8995600000003
2023-11-28 04:45:00,459.37125,126.4575,2723.3570600000003
2023-11-28 05:00:00,231.0282,62.37972,2785.73678
2023-11-28 05:15:00,335.2096,107.14176,2892.87854
2023-11-28 05:30:00,443.5749,122.69434,3015.57288
2023-11-28 05:45:00,668.6491,193.53446,3209.10734
2023-11-28 06:00:00,34.452,5.45886,3214.5662
2023-11-28 06:15:00,333.0096,32.34,3246.9062000000004
2023-11-28 06:30:00,846.232,251.92144,3498.8276400000004
2023-11-28 06:45:00,1247.108,371.26136,3870.0890000000004
2023-11-28 07:00:00,-169.01695,-13.34725,3856.7417500000006
2023-11-28 07:15:00,302.47759,-83.08607,3773.6556800000008
2023-11-28 07:30:00,2205.17849,1210.66811,4984.32379
2023-11-28 07:45:00,3879.216,2382.8928,7367.21659
2023-11-28 08:00:00,1235.69145,660.34305,8027.5596399999995
2023-11-28 08:15:00,1075.33085,223.34565,8250.905289999999
2023-11-28 08:30:00,872.1534,-70.5554,8180.349889999999
2023-11-28 08:45:00,1613.41455,769.85095,8950.200839999998
2023-11-28 09:00:00,1522.63696,121.584,9071.784839999998
