From_NL,EPEX_EurMWh,Imbalance_Short_EurMWh,Imbalance_Long_EurMWh
10/12/2023 12:15,66.38,-34.55,-34.55
10/12/2023 12:30,66.38,-34.56,-34.56
10/12/2023 12:45,66.38,150.94,-227.94
10/12/2023 13:00,64.73,102.99,-186.46
10/12/2023 13:15,64.73,71.86,71.86
10/12/2023 13:30,64.73,71.86,71.86
10/12/2023 13:45,64.73,71.86,71.86
10/12/2023 14:00,68.98,71.78,71.78
10/12/2023 14:15,68.98,103.09,103.09
10/12/2023 14:30,68.98,117.46,117.46
10/12/2023 14:45,68.98,115.09,115.09
10/12/2023 15:00,75.84,82.23,82.23
10/12/2023 15:15,75.84,83.23,83.23
10/12/2023 15:30,75.84,83.23,83.23
10/12/2023 15:45,75.84,25.7,25.7
10/12/2023 16:00,80.3,-98.03,-98.03
10/12/2023 16:15,80.3,80.94,-205.09
10/12/2023 16:30,80.3,80.94,-100
10/12/2023 16:45,80.3,-100,-100
10/12/2023 17:00,80.3,-70.71,-70.71
10/12/2023 17:15,80.3,80.94,-96.03
10/12/2023 17:30,80.3,80.94,-24.81
10/12/2023 17:45,80.3,58.92,58.92
10/12/2023 18:00,85.42,102.73,68.76
10/12/2023 18:15,85.42,101.77,101.77
10/12/2023 18:30,85.42,110.23,110.23
10/12/2023 18:45,85.42,172.41,172.41
10/12/2023 19:00,80.76,168.3,168.3
10/12/2023 19:15,80.76,112.24,112.24
10/12/2023 19:30,80.76,98.85,98.85
10/12/2023 19:45,80.76,80.94,80.94
10/12/2023 20:00,78.05,66.62,66.62
10/12/2023 20:15,78.05,66.62,66.62
10/12/2023 20:30,78.05,-5.59,-5.59
10/12/2023 20:45,78.05,-15.69,-15.69
10/12/2023 21:00,77.06,21.21,21.21
10/12/2023 21:15,77.06,-25.82,-25.82
10/12/2023 21:30,77.06,-34.11,-34.11
10/12/2023 21:45,77.06,-15.69,-15.69
10/12/2023 22:00,77.47,-7.73,-7.73
10/12/2023 22:15,77.47,81.23,81.23
10/12/2023 22:30,77.47,74.23,74.23
10/12/2023 22:45,77.47,-5.59,-5.59
10/12/2023 23:00,67.15,-43.15,-43.15
10/12/2023 23:15,67.15,-149.86,-149.86
10/12/2023 23:30,67.15,-52.71,-52.71
10/12/2023 23:45,67.15,-163.55,-163.55
11/12/2023 00:00,34.55,107.91,-52.26
11/12/2023 00:15,34.55,-13.57,-13.57
11/12/2023 00:30,34.55,-7.91,-7.91
11/12/2023 00:45,34.55,-22.68,-22.68
11/12/2023 01:00,15.74,-14.59,-14.59
11/12/2023 01:15,15.74,-8.55,-8.55
11/12/2023 01:30,15.74,-13.56,-13.56
11/12/2023 01:45,15.74,-25.85,-25.85
11/12/2023 02:00,13,67.91,-14.59
11/12/2023 02:15,13,-24.4,-24.4
11/12/2023 02:30,13,-13.58,-13.58
11/12/2023 02:45,13,-15.05,-15.05
11/12/2023 03:00,8.9,-5.25,-5.25
11/12/2023 03:15,8.9,-39.91,-39.91
11/12/2023 03:30,8.9,-47.4,-47.4
11/12/2023 03:45,8.9,-5.25,-5.25
11/12/2023 04:00,11.99,-14.59,-14.59
11/12/2023 04:15,11.99,-8.55,-8.55
11/12/2023 04:30,11.99,-33.3,-33.3
11/12/2023 04:45,11.99,50.59,50.59
11/12/2023 05:00,35.79,-13.59,-13.59
11/12/2023 05:15,35.79,-15.04,-15.04
11/12/2023 05:30,35.79,-15.06,-15.06
11/12/2023 05:45,35.79,-20.23,-20.23
11/12/2023 06:00,74.29,-100,-100
11/12/2023 06:15,74.29,-15.84,-15.84
11/12/2023 06:30,74.29,73.78,73.78
11/12/2023 06:45,74.29,104.91,104.91
11/12/2023 07:00,92.74,43.78,43.78
11/12/2023 07:15,92.74,97.91,97.91
11/12/2023 07:30,92.74,114.91,114.91
11/12/2023 07:45,92.74,102.91,102.91
11/12/2023 08:00,98.65,67.93,67.93
11/12/2023 08:15,98.65,87.89,87.89
11/12/2023 08:30,98.65,68.19,68.19
11/12/2023 08:45,98.65,67.59,67.59
11/12/2023 09:00,98.37,65.59,65.59
11/12/2023 09:15,98.37,65.59,65.59
11/12/2023 09:30,98.37,54.48,54.48
11/12/2023 09:45,98.37,72.8,72.8
11/12/2023 10:00,93.29,114.91,69.04
11/12/2023 10:15,93.29,90.38,90.38
11/12/2023 10:30,93.29,97.91,97.91
11/12/2023 10:45,93.29,70.04,70.04
11/12/2023 11:00,90.98,69.92,69.92
11/12/2023 11:15,90.98,69.93,69.93
11/12/2023 11:30,90.98,62.91,62.91
11/12/2023 11:45,90.98,69.93,69.93
11/12/2023 12:00,85.97,97.51,97.51
11/12/2023 12:15,85.97,97.51,97.51
