From_NL,EPEX_EurMWh,Imbalance_Short_EurMWh,Imbalance_Long_EurMWh
20/12/2023 00:00,115.7,492.18,-80
20/12/2023 00:15,115.7,210.66,210.66
20/12/2023 00:30,115.7,142.7,142.7
20/12/2023 00:45,115.7,142.7,142.7
20/12/2023 01:00,100.96,171.86,171.86
20/12/2023 01:15,100.96,180.4,180.4
20/12/2023 01:30,100.96,142.7,142.7
20/12/2023 01:45,100.96,142.7,142.7
20/12/2023 02:00,96,138.62,138.62
20/12/2023 02:15,96,142.7,142.7
20/12/2023 02:30,96,159.76,159.76
20/12/2023 02:45,96,-21.02,-21.02
20/12/2023 03:00,79.96,170.04,-29.42
20/12/2023 03:15,79.96,142.7,142.7
20/12/2023 03:30,79.96,142.7,142.7
20/12/2023 03:45,79.96,142.7,142.7
20/12/2023 04:00,63.02,138.6,138.6
20/12/2023 04:15,63.02,142.7,142.7
20/12/2023 04:30,63.02,142.7,142.7
20/12/2023 04:45,63.02,142.7,142.7
20/12/2023 05:00,79.94,142.7,142.7
20/12/2023 05:15,79.94,142.7,142.7
20/12/2023 05:30,79.94,184.7,184.7
20/12/2023 05:45,79.94,163.76,163.76
20/12/2023 06:00,96.26,167.74,167.74
20/12/2023 06:15,96.26,182.2,182.2
20/12/2023 06:30,96.26,222.32,222.32
20/12/2023 06:45,96.26,171.74,171.74
20/12/2023 07:00,139.06,-36.3,-36.3
20/12/2023 07:15,139.06,143.54,143.54
20/12/2023 07:30,139.06,139.74,139.74
20/12/2023 07:45,139.06,139.74,139.74
20/12/2023 08:00,196.18,167.78,167.78
20/12/2023 08:15,196.18,184.96,184.96
20/12/2023 08:30,196.18,152.24,152.24
20/12/2023 08:45,196.18,151.62,151.62
20/12/2023 09:00,214.2,521.02,521.02
20/12/2023 09:15,214.2,270.08,270.08
20/12/2023 09:30,214.2,183.02,183.02
20/12/2023 09:45,214.2,150.4,150.4
20/12/2023 10:00,190,171.74,171.74
20/12/2023 10:15,190,161.02,161.02
20/12/2023 10:30,190,171.74,171.74
20/12/2023 10:45,190,111.74,111.74
20/12/2023 11:00,176,19.04,19.04
20/12/2023 11:15,176,151.32,151.32
20/12/2023 11:30,176,183.02,183.02
20/12/2023 11:45,176,-81.24,-81.24
20/12/2023 12:00,133.08,191.02,191.02
20/12/2023 12:15,133.08,183.74,183.74
20/12/2023 12:30,133.08,281.82,281.82
20/12/2023 12:45,133.08,533.02,533.02
20/12/2023 13:00,140.2,225.38,225.38
20/12/2023 13:15,140.2,151.98,151.98
20/12/2023 13:30,140.2,31.04,31.04
20/12/2023 13:45,140.2,19.04,19.04
20/12/2023 14:00,168.62,537.02,-301.24
20/12/2023 14:15,168.62,31.04,31.04
20/12/2023 14:30,168.62,302.62,-401.24
20/12/2023 14:45,168.62,208.62,-500.8
20/12/2023 15:00,181.32,111.74,111.74
20/12/2023 15:15,181.32,99.74,99.74
20/12/2023 15:30,181.32,41.04,41.04
20/12/2023 15:45,181.32,111.74,111.74
20/12/2023 16:00,196,157.74,157.74
20/12/2023 16:15,196,150.4,150.4
20/12/2023 16:30,196,141.04,141.04
20/12/2023 16:45,196,150.4,150.4
20/12/2023 17:00,221.82,430.42,-72
20/12/2023 17:15,221.82,177.64,177.64
20/12/2023 17:30,221.82,110.92,110.92
20/12/2023 17:45,221.82,-18.26,-18.26
20/12/2023 18:00,201.62,147.12,147.12
20/12/2023 18:15,201.62,137.04,137.04
20/12/2023 18:30,201.62,111.74,111.74
20/12/2023 18:45,201.62,111.74,111.74
20/12/2023 19:00,178.12,280.12,280.12
20/12/2023 19:15,178.12,163.74,163.74
20/12/2023 19:30,178.12,-39.36,-39.36
20/12/2023 19:45,178.12,7.04,7.04
20/12/2023 20:00,156.14,161.02,-76
20/12/2023 20:15,156.14,108.88,108.88
20/12/2023 20:30,156.14,108.88,108.88
20/12/2023 20:45,156.14,108.88,108.88
20/12/2023 21:00,133.74,-66.26,-66.26
20/12/2023 21:15,133.74,108.88,108.88
20/12/2023 21:30,133.74,-15.78,-15.78
20/12/2023 21:45,133.74,-76,-76
20/12/2023 22:00,122.84,233.02,-80
20/12/2023 22:15,122.84,108.88,108.88
20/12/2023 22:30,122.84,-76,-76
20/12/2023 22:45,122.84,-76,-76
20/12/2023 23:00,97.86,167.6,167.6
20/12/2023 23:15,97.86,60,60
20/12/2023 23:30,97.86,106.94,106.94
20/12/2023 23:45,97.86,92.88,92.88
