From_NL,Imbalance_Volume_MWh,E_Imbalance_Volume_MWh,V_Imbalance_Volume_MWh
10/12/2023 10:45,-2.538,2.462257,-2.537743
10/12/2023 11:00,1.529,-2.22097,1.52903
10/12/2023 11:15,3.104,-0.646443,3.103557
10/12/2023 11:30,4.261,0.510902,4.260902
10/12/2023 11:45,4.995,1.24495,4.99495
10/12/2023 12:00,3.869,0.118845,3.868845
10/12/2023 12:15,3.425,-0.325332,3.424668
10/12/2023 12:30,1.429,-2.321149,1.428851
10/12/2023 12:45,-0.08,-3.829383,-0.079383
10/12/2023 13:00,-0.838,-0.837982,-0.837982
10/12/2023 13:15,-4.327,-4.326981,-4.326981
10/12/2023 13:30,-5.485,-5.485575,-5.485575
10/12/2023 13:45,-6.205,-6.204443,-6.204443
10/12/2023 14:00,0.6,0.600213,0.600213
10/12/2023 14:15,-1.299,-1.298574,-1.298574
10/12/2023 14:30,-2.742,-2.742399,-2.742399
10/12/2023 14:45,-4.632,-4.63235,-4.63235
10/12/2023 15:00,3.125,3.125262,3.125262
10/12/2023 15:15,1.263,1.262192,1.262192
10/12/2023 15:30,0.254,0.254668,0.254668
10/12/2023 15:45,-1.043,-1.043005,-1.043005
10/12/2023 16:00,4.274,4.274531,4.274531
10/12/2023 16:15,3.736,3.735638,3.735638
10/12/2023 16:30,3.724,3.723916,3.723916
10/12/2023 16:45,3.185,3.185123,3.185123
10/12/2023 17:00,4.019,4.018973,4.018973
10/12/2023 17:15,4.351,4.350703,4.350703
10/12/2023 17:30,4.952,4.952243,4.952243
10/12/2023 17:45,5.182,5.182089,5.182089
10/12/2023 18:00,4.209,4.209624,4.209624
10/12/2023 18:15,4.146,4.146224,4.146224
10/12/2023 18:30,4.672,4.672606,4.672606
10/12/2023 18:45,4.844,4.844772,4.844772
10/12/2023 19:00,3.629,3.628936,3.628936
10/12/2023 19:15,3.751,3.751035,3.751035
10/12/2023 19:30,4.273,4.272858,4.272858
10/12/2023 19:45,4.777,4.776114,4.776114
10/12/2023 20:00,2.574,2.573779,2.573779
10/12/2023 20:15,3.345,3.344436,3.344436
10/12/2023 20:30,4.681,4.68025,4.68025
10/12/2023 20:45,5.928,5.928151,5.928151
10/12/2023 21:00,3.698,3.69806,3.69806
10/12/2023 21:15,5.185,5.185484,5.185484
10/12/2023 21:30,5.87,5.870071,5.870071
10/12/2023 21:45,6.928,6.927952,6.927952
10/12/2023 22:00,4.386,4.386795,4.386795
10/12/2023 22:15,5.05,5.050638,5.050638
10/12/2023 22:30,6.026,6.025906,6.025906
10/12/2023 22:45,7.111,7.11081,7.11081
10/12/2023 23:00,4.328,4.327339,4.327339
10/12/2023 23:15,5.041,5.040296,5.040296
10/12/2023 23:30,6.048,6.048757,6.048757
10/12/2023 23:45,7.133,7.133755,7.133755
11/12/2023 00:00,4.441,4.441089,4.441089
11/12/2023 00:15,4.449,4.448774,4.448774
11/12/2023 00:30,4.873,4.872695,4.872695
11/12/2023 00:45,5.731,5.730784,5.730784
11/12/2023 01:00,4.307,4.307478,4.307478
11/12/2023 01:15,4.375,4.374581,4.374581
11/12/2023 01:30,4.909,4.909373,4.909373
11/12/2023 01:45,4.99,4.990063,4.990063
11/12/2023 02:00,4.537,4.536358,4.536358
11/12/2023 02:15,4.519,4.518786,4.518786
11/12/2023 02:30,4.666,4.666028,4.666028
11/12/2023 02:45,4.7,4.699215,4.699215
11/12/2023 03:00,4.282,4.282034,4.282034
11/12/2023 03:15,4.196,4.196044,4.196044
11/12/2023 03:30,4.414,4.41361,4.41361
11/12/2023 03:45,4.164,4.163326,4.163326
11/12/2023 04:00,4.635,4.635174,4.635174
11/12/2023 04:15,4.244,4.243771,4.243771
11/12/2023 04:30,4.393,4.393708,4.393708
11/12/2023 04:45,4.147,4.146578,4.146578
11/12/2023 05:00,5.852,5.851723,5.851723
11/12/2023 05:15,5.114,5.113652,5.113652
