From_NL,Imbalance_Volume_MWh,E_Imbalance_Volume_MWh,V_Imbalance_Volume_MWh
20/12/2023 00:00,-2.078,-2.078042,-2.078042
20/12/2023 00:15,-1.195,-1.194834,-1.194834
20/12/2023 00:30,-0.447,-0.447052,-0.447052
20/12/2023 00:45,0.227,0.226597,0.226597
20/12/2023 01:00,-1.41,-1.409749,-1.409749
20/12/2023 01:15,-0.909,-0.908597,-0.908597
20/12/2023 01:30,-0.495,-0.495709,-0.495709
20/12/2023 01:45,-0.034,-0.033834,-0.033834
20/12/2023 02:00,-0.688,-0.687428,-0.687428
20/12/2023 02:15,-0.262,-0.262685,-0.262685
20/12/2023 02:30,0.325,0.32485,0.32485
20/12/2023 02:45,0.763,0.762466,0.762466
20/12/2023 03:00,-0.119,-0.118919,-0.118919
20/12/2023 03:15,-0.202,-0.201874,-0.201874
20/12/2023 03:30,0.01,0.009932,0.009932
20/12/2023 03:45,0.275,0.274873,0.274873
20/12/2023 04:00,0.083,0.082272,0.082272
20/12/2023 04:15,-0.158,-0.158059,-0.158059
20/12/2023 04:30,0.087,0.086424,0.086424
20/12/2023 04:45,-0.236,-0.236355,-0.236355
20/12/2023 05:00,1.559,1.559268,1.559268
20/12/2023 05:15,0.811,0.810485,0.810485
20/12/2023 05:30,-0.326,-0.326241,-0.326241
20/12/2023 05:45,-1.925,-1.924415,-1.924415
20/12/2023 06:00,3.996,3.996019,3.996019
20/12/2023 06:15,1.449,1.448848,1.448848
20/12/2023 06:30,-0.825,-0.825165,-0.825165
20/12/2023 06:45,-3.57,-3.570266,-3.570266
20/12/2023 07:00,7.432,7.431845,7.431845
20/12/2023 07:15,3.442,3.442664,3.442664
20/12/2023 07:30,-1.133,-1.132728,-1.132728
20/12/2023 07:45,-5.334,-5.333839,-5.333839
20/12/2023 08:00,4.399,4.398643,4.398643
20/12/2023 08:15,1.75,1.75056,1.75056
20/12/2023 08:30,-0.336,-0.335882,-0.335882
20/12/2023 08:45,-1.395,-1.395066,-1.395066
20/12/2023 09:00,-0.349,-0.34899,-0.34899
20/12/2023 09:15,0.822,0.822161,0.822161
20/12/2023 09:30,2.06,2.059748,2.059748
20/12/2023 09:45,2.944,2.94322,2.94322
20/12/2023 10:00,1.712,-0.788151,1.711849
20/12/2023 10:15,1.863,-0.637344,1.862656
20/12/2023 10:30,2.186,-0.314607,2.185393
20/12/2023 10:45,4.062,1.561544,4.061544
20/12/2023 11:00,4.28,-0.7194,4.2806
20/12/2023 11:15,6,0.9995,5.9995
20/12/2023 11:30,7.333,2.333335,7.333335
20/12/2023 11:45,8.271,3.27135,8.27135
20/12/2023 12:00,9.297,0.547585,9.297585
20/12/2023 12:15,10.459,1.708813,10.458813
20/12/2023 12:30,12.266,3.515199,12.265199
20/12/2023 12:45,11.808,3.058159,11.808159
20/12/2023 13:00,9.413,3.162502,9.412502
20/12/2023 13:15,7.257,1.007148,7.257148
20/12/2023 13:30,6.075,-0.174926,6.075074
20/12/2023 13:45,4.545,-1.705752,4.544248
20/12/2023 14:00,6.702,0.452317,6.702317
20/12/2023 14:15,5.828,-0.421595,5.828405
20/12/2023 14:30,6.187,-0.063518,6.186482
20/12/2023 14:45,5.861,-0.388793,5.861207
20/12/2023 15:00,6.863,4.363194,6.863194
20/12/2023 15:15,4.979,2.479087,4.979087
20/12/2023 15:30,2.655,0.155748,2.655748
20/12/2023 15:45,1.663,-0.836249,1.663751
20/12/2023 16:00,-0.265,-0.265775,-0.265775
20/12/2023 16:15,0.607,0.606283,0.606283
20/12/2023 16:30,1.954,1.953948,1.953948
20/12/2023 16:45,3.161,3.161158,3.161158
20/12/2023 17:00,-0.866,-0.866358,-0.866358
20/12/2023 17:15,0.641,0.641812,0.641812
20/12/2023 17:30,2.746,2.746389,2.746389
20/12/2023 17:45,4.7,4.699616,4.699616
20/12/2023 18:00,0.624,0.62455,0.62455
20/12/2023 18:15,2.408,2.407886,2.407886
20/12/2023 18:30,3.701,3.701331,3.701331
20/12/2023 18:45,5.15,5.14982,5.14982
20/12/2023 19:00,2.331,2.33182,2.33182
20/12/2023 19:15,2.893,2.892503,2.892503
20/12/2023 19:30,4.074,4.074404,4.074404
20/12/2023 19:45,5.334,5.334297,5.334297
20/12/2023 20:00,1.149,1.14903,1.14903
20/12/2023 20:15,2.167,2.166603,2.166603
20/12/2023 20:30,3.671,3.671269,3.671269
20/12/2023 20:45,5.306,5.305827,5.305827
20/12/2023 21:00,0.673,0.673106,0.673106
20/12/2023 21:15,2.041,2.041154,2.041154
20/12/2023 21:30,3.45,3.450091,3.450091
20/12/2023 21:45,4.858,4.858615,4.858615
20/12/2023 22:00,1.676,1.675582,1.675582
20/12/2023 22:15,2.271,2.270908,2.270908
20/12/2023 22:30,3.377,3.377846,3.377846
20/12/2023 22:45,4.298,4.298316,4.298316
20/12/2023 23:00,1.078,1.077359,1.077359
20/12/2023 23:15,2.134,2.133694,2.133694
20/12/2023 23:30,3.116,3.115801,3.115801
20/12/2023 23:45,3.824,3.823481,3.823481
