From_NL,From_UTC,E_Volume_kWh,Tenant,E_Volume_MWh,Abs_E_Volume_kWh,Abs_E_Volume_MWh
01/12/2023 00:00,30/11/2023 23:00,1109,1,1.109,1109,1.109
01/12/2023 00:00,30/11/2023 23:00,40491,0,40.491,40491,40.491
01/12/2023 00:15,30/11/2023 23:15,40511,0,40.511,40511,40.511
01/12/2023 00:15,30/11/2023 23:15,1089,1,1.089,1089,1.089
01/12/2023 00:30,30/11/2023 23:30,40535,0,40.535,40535,40.535
01/12/2023 00:30,30/11/2023 23:30,1065,1,1.065,1065,1.065
01/12/2023 00:45,30/11/2023 23:45,40563,0,40.563,40563,40.563
01/12/2023 00:45,30/11/2023 23:45,1037,1,1.037,1037,1.037
01/12/2023 01:00,01/12/2023 00:00,39084,0,39.084,39084,39.084
01/12/2023 01:00,01/12/2023 00:00,1091,1,1.091,1091,1.091
01/12/2023 01:15,01/12/2023 00:15,1087,1,1.087,1087,1.087
01/12/2023 01:15,01/12/2023 00:15,39088,0,39.088,39088,39.088
01/12/2023 01:30,01/12/2023 00:30,1073,1,1.073,1073,1.073
01/12/2023 01:30,01/12/2023 00:30,39102,0,39.102,39102,39.102
01/12/2023 01:45,01/12/2023 00:45,1051,1,1.051,1051,1.051
01/12/2023 01:45,01/12/2023 00:45,39124,0,39.124,39124,39.124
01/12/2023 02:00,01/12/2023 01:00,38005,0,38.005,38005,38.005
01/12/2023 02:00,01/12/2023 01:00,1095,1,1.095,1095,1.095
01/12/2023 02:15,01/12/2023 01:15,38012,0,38.012,38012,38.012
01/12/2023 02:15,01/12/2023 01:15,1088,1,1.088,1088,1.088
01/12/2023 02:30,01/12/2023 01:30,1078,1,1.078,1078,1.078
01/12/2023 02:30,01/12/2023 01:30,38022,0,38.022,38022,38.022
01/12/2023 02:45,01/12/2023 01:45,38040,0,38.04,38040,38.04
01/12/2023 02:45,01/12/2023 01:45,1060,1,1.06,1060,1.06
01/12/2023 03:00,01/12/2023 02:00,1182,1,1.182,1182,1.182
01/12/2023 03:00,01/12/2023 02:00,37593,0,37.593,37593,37.593
01/12/2023 03:15,01/12/2023 02:15,1182,1,1.182,1182,1.182
01/12/2023 03:15,01/12/2023 02:15,37593,0,37.593,37593,37.593
01/12/2023 03:30,01/12/2023 02:30,1148,1,1.148,1148,1.148
01/12/2023 03:30,01/12/2023 02:30,37627,0,37.627,37627,37.627
01/12/2023 03:45,01/12/2023 02:45,37662,0,37.662,37662,37.662
01/12/2023 03:45,01/12/2023 02:45,1113,1,1.113,1113,1.113
01/12/2023 04:00,01/12/2023 03:00,38399,0,38.399,38399,38.399
01/12/2023 04:00,01/12/2023 03:00,1076,1,1.076,1076,1.076
01/12/2023 04:15,01/12/2023 03:15,1037,1,1.037,1037,1.037
01/12/2023 04:15,01/12/2023 03:15,38438,0,38.438,38438,38.438
01/12/2023 04:30,01/12/2023 03:30,38470,0,38.47,38470,38.47
01/12/2023 04:30,01/12/2023 03:30,1005,1,1.005,1005,1.005
01/12/2023 04:45,01/12/2023 03:45,946,1,0.946,946,0.946
01/12/2023 04:45,01/12/2023 03:45,38529,0,38.529,38529,38.529
01/12/2023 05:00,01/12/2023 04:00,866,1,0.866,866,0.866
01/12/2023 05:00,01/12/2023 04:00,41409,0,41.409,41409,41.409
01/12/2023 05:15,01/12/2023 04:15,844,1,0.844,844,0.844
01/12/2023 05:15,01/12/2023 04:15,41431,0,41.431,41431,41.431
01/12/2023 05:30,01/12/2023 04:30,41445,0,41.445,41445,41.445
01/12/2023 05:30,01/12/2023 04:30,830,1,0.83,830,0.83
01/12/2023 05:45,01/12/2023 04:45,41452,0,41.452,41452,41.452
01/12/2023 05:45,01/12/2023 04:45,823,1,0.823,823,0.823
01/12/2023 06:00,01/12/2023 05:00,819,1,0.819,819,0.819
01/12/2023 06:00,01/12/2023 05:00,50356,0,50.356,50356,50.356
01/12/2023 06:15,01/12/2023 05:15,50327,0,50.327,50327,50.327
01/12/2023 06:15,01/12/2023 05:15,848,1,0.848,848,0.848
01/12/2023 06:30,01/12/2023 05:30,894,1,0.894,894,0.894
01/12/2023 06:30,01/12/2023 05:30,50281,0,50.281,50281,50.281
01/12/2023 06:45,01/12/2023 05:45,941,1,0.941,941,0.941
01/12/2023 06:45,01/12/2023 05:45,50234,0,50.234,50234,50.234
01/12/2023 07:00,01/12/2023 06:00,993,1,0.993,993,0.993
01/12/2023 07:00,01/12/2023 06:00,64032,0,64.032,64032,64.032
01/12/2023 07:15,01/12/2023 06:15,63964,0,63.964,63964,63.964
01/12/2023 07:15,01/12/2023 06:15,1061,1,1.061,1061,1.061
01/12/2023 07:30,01/12/2023 06:30,63891,0,63.891,63891,63.891
01/12/2023 07:30,01/12/2023 06:30,1134,1,1.134,1134,1.134
01/12/2023 07:45,01/12/2023 06:45,1190,1,1.19,1190,1.19
01/12/2023 07:45,01/12/2023 06:45,63835,0,63.835,63835,63.835
01/12/2023 08:00,01/12/2023 07:00,74509,0,74.509,74509,74.509
01/12/2023 08:00,01/12/2023 07:00,1216,1,1.216,1216,1.216
01/12/2023 08:15,01/12/2023 07:15,1216,1,1.216,1216,1.216
01/12/2023 08:15,01/12/2023 07:15,74509,0,74.509,74509,74.509
01/12/2023 08:30,01/12/2023 07:30,74492,0,74.492,74492,74.492
01/12/2023 08:30,01/12/2023 07:30,1233,1,1.233,1233,1.233
01/12/2023 08:45,01/12/2023 07:45,74488,0,74.488,74488,74.488
01/12/2023 08:45,01/12/2023 07:45,1237,1,1.237,1237,1.237
01/12/2023 09:00,01/12/2023 08:00,1248,1,1.248,1248,1.248
01/12/2023 09:00,01/12/2023 08:00,71102,0,71.102,71102,71.102
01/12/2023 09:15,01/12/2023 08:15,1221,1,1.221,1221,1.221
01/12/2023 09:15,01/12/2023 08:15,71129,0,71.129,71129,71.129
01/12/2023 09:30,01/12/2023 08:30,1208,1,1.208,1208,1.208
01/12/2023 09:30,01/12/2023 08:30,71142,0,71.142,71142,71.142
01/12/2023 09:45,01/12/2023 08:45,71192,0,71.192,71192,71.192
01/12/2023 09:45,01/12/2023 08:45,1158,1,1.158,1158,1.158
01/12/2023 10:00,01/12/2023 09:00,1122,1,1.122,1122,1.122
01/12/2023 10:00,01/12/2023 09:00,63303,0,63.303,63303,63.303
01/12/2023 10:15,01/12/2023 09:15,1035,1,1.035,1035,1.035
01/12/2023 10:15,01/12/2023 09:15,63390,0,63.39,63390,63.39
01/12/2023 10:30,01/12/2023 09:30,979,1,0.979,979,0.979
01/12/2023 10:30,01/12/2023 09:30,63446,0,63.446,63446,63.446
01/12/2023 10:45,01/12/2023 09:45,63510,0,63.51,63510,63.51
01/12/2023 10:45,01/12/2023 09:45,915,1,0.915,915,0.915
01/12/2023 11:00,01/12/2023 10:00,56740,0,56.74,56740,56.74
01/12/2023 11:00,01/12/2023 10:00,885,1,0.885,885,0.885
01/12/2023 11:15,01/12/2023 10:15,841,1,0.841,841,0.841
01/12/2023 11:15,01/12/2023 10:15,56784,0,56.784,56784,56.784
01/12/2023 11:30,01/12/2023 10:30,56808,0,56.808,56808,56.808
01/12/2023 11:30,01/12/2023 10:30,817,1,0.817,817,0.817
01/12/2023 11:45,01/12/2023 10:45,797,1,0.797,797,0.797
01/12/2023 11:45,01/12/2023 10:45,56828,0,56.828,56828,56.828
01/12/2023 12:00,01/12/2023 11:00,833,1,0.833,833,0.833
01/12/2023 12:00,01/12/2023 11:00,50792,0,50.792,50792,50.792
01/12/2023 12:15,01/12/2023 11:15,872,1,0.872,872,0.872
01/12/2023 12:15,01/12/2023 11:15,50753,0,50.753,50753,50.753
01/12/2023 12:30,01/12/2023 11:30,50780,0,50.78,50780,50.78
01/12/2023 12:30,01/12/2023 11:30,845,1,0.845,845,0.845
01/12/2023 12:45,01/12/2023 11:45,50773,0,50.773,50773,50.773
01/12/2023 12:45,01/12/2023 11:45,852,1,0.852,852,0.852
01/12/2023 13:00,01/12/2023 12:00,876,1,0.876,876,0.876
01/12/2023 13:00,01/12/2023 12:00,53349,0,53.349,53349,53.349
01/12/2023 13:15,01/12/2023 12:15,53313,0,53.313,53313,53.313
01/12/2023 13:15,01/12/2023 12:15,912,1,0.912,912,0.912
01/12/2023 13:30,01/12/2023 12:30,943,1,0.943,943,0.943
01/12/2023 13:30,01/12/2023 12:30,53282,0,53.282,53282,53.282
01/12/2023 13:45,01/12/2023 12:45,985,1,0.985,985,0.985
01/12/2023 13:45,01/12/2023 12:45,53240,0,53.24,53240,53.24
01/12/2023 14:00,01/12/2023 13:00,1012,1,1.012,1012,1.012
01/12/2023 14:00,01/12/2023 13:00,61363,0,61.363,61363,61.363
01/12/2023 14:15,01/12/2023 13:15,61349,0,61.349,61349,61.349
01/12/2023 14:15,01/12/2023 13:15,1026,1,1.026,1026,1.026
01/12/2023 14:30,01/12/2023 13:30,61298,0,61.298,61298,61.298
