datum,PTE,periode_van,periode_tm,indicatie noodvermogen op,indicatie noodvermogen af,opregelen,Afregelen,prikkelcomponent,Afnemen,invoeden,regeltoestand
28/11/2023,1,00:00,00:15,,,304.7,,0,304.7,304.7,1
28/11/2023,2,00:15,00:30,,,154.7,,0,154.7,154.7,1
28/11/2023,3,00:30,00:45,,,123.96,,0,123.96,123.96,1
28/11/2023,4,00:45,01:00,,,,,0,71.27,71.27,0
28/11/2023,5,01:00,01:15,,,117.7,,0,117.7,117.7,1
28/11/2023,6,01:15,01:30,,,119.96,,0,119.96,119.96,1
28/11/2023,7,01:30,01:45,,,140.03,,0,140.03,140.03,1
28/11/2023,8,01:45,02:00,,,139.26,,0,139.26,139.26,1
28/11/2023,9,02:00,02:15,,,154.7,,0,154.7,154.7,1
28/11/2023,10,02:15,02:30,,,107.84,,0,107.84,107.84,1
28/11/2023,11,02:30,02:45,,,107.84,,0,107.84,107.84,1
28/11/2023,12,02:45,03:00,,,,,0,91.93,91.93,0
28/11/2023,13,03:00,03:15,,,,,0,91.93,91.93,0
28/11/2023,14,03:15,03:30,,,,,0,91.93,91.93,0
28/11/2023,15,03:30,03:45,,,,,0,91.93,91.93,0
28/11/2023,16,03:45,04:00,,,,,0,91.93,91.93,0
28/11/2023,17,04:00,04:15,,,,79.74,0,79.74,79.74,-1
28/11/2023,18,04:15,04:30,,,,79.74,0,79.74,79.74,-1
28/11/2023,19,04:30,04:45,,,,79.74,0,79.74,79.74,-1
28/11/2023,20,04:45,05:00,,,,,0,94.23,94.23,0
28/11/2023,21,05:00,05:15,,,109.7,,0,109.7,109.7,1
28/11/2023,22,05:15,05:30,,,117.7,,0,117.7,117.7,1
28/11/2023,23,05:30,05:45,,,110.7,,0,110.7,110.7,1
28/11/2023,24,05:45,06:00,,,112.7,,0,112.7,112.7,1
28/11/2023,25,06:00,06:15,,,116,,0,116,116,1
28/11/2023,26,06:15,06:30,,,108.12,,0,108.12,108.12,1
28/11/2023,27,06:30,06:45,,,139,,0,139,139,1
28/11/2023,28,06:45,07:00,,,139,,0,139,139,1
28/11/2023,29,07:00,07:15,,,111.05,152,0,128.53,128.53,0
28/11/2023,30,07:15,07:30,,,,92.87,0,92.87,92.87,-1
28/11/2023,31,07:30,07:45,,,262.49,,0,262.49,262.49,1
28/11/2023,32,07:45,08:00,,,306.9,,0,306.9,306.9,1
28/11/2023,33,08:00,08:15,,,274.05,,0,274.05,274.05,1
