,stationname,2023-12-24 00:00:00,2023-12-24 00:10:00,2023-12-24 00:20:00,2023-12-24 00:30:00,2023-12-24 00:40:00,2023-12-24 00:50:00,2023-12-24 01:00:00,2023-12-24 01:10:00,2023-12-24 01:20:00,2023-12-24 01:30:00,2023-12-24 01:40:00,2023-12-24 01:50:00,2023-12-24 02:00:00,2023-12-24 02:10:00,2023-12-24 02:20:00,2023-12-24 02:30:00,2023-12-24 02:40:00,2023-12-24 02:50:00,2023-12-24 03:00:00,2023-12-24 03:10:00,2023-12-24 03:20:00,2023-12-24 03:30:00,2023-12-24 03:40:00,2023-12-24 03:50:00,2023-12-24 04:00:00,2023-12-24 04:10:00,2023-12-24 04:20:00,2023-12-24 04:30:00,2023-12-24 04:40:00,2023-12-24 04:50:00,2023-12-24 05:00:00,2023-12-24 05:10:00,2023-12-24 05:20:00,2023-12-24 05:30:00,2023-12-24 05:40:00,2023-12-24 05:50:00,2023-12-24 06:00:00,2023-12-24 06:10:00,2023-12-24 06:20:00,2023-12-24 06:30:00,2023-12-24 06:40:00,2023-12-24 06:50:00,2023-12-24 07:00:00,2023-12-24 07:10:00,2023-12-24 07:20:00,2023-12-24 07:30:00,2023-12-24 07:40:00,2023-12-24 07:50:00,2023-12-24 08:00:00,2023-12-24 08:10:00,2023-12-24 08:20:00,2023-12-24 08:30:00,2023-12-24 08:40:00,2023-12-24 08:50:00,2023-12-24 09:00:00,2023-12-24 09:10:00,2023-12-24 09:20:00,2023-12-24 09:30:00,2023-12-24 09:40:00,2023-12-24 09:50:00,2023-12-24 10:00:00,2023-12-24 10:10:00,2023-12-24 10:20:00,2023-12-24 10:30:00,2023-12-24 10:40:00,2023-12-24 10:50:00,2023-12-24 11:00:00,2023-12-24 11:10:00,2023-12-24 11:20:00,2023-12-24 11:30:00,2023-12-24 11:40:00,2023-12-24 11:50:00,2023-12-24 12:00:00,2023-12-24 12:10:00,2023-12-24 12:20:00,2023-12-24 12:30:00,2023-12-24 12:40:00,2023-12-24 12:50:00,2023-12-24 13:00:00,2023-12-24 13:10:00,2023-12-24 13:20:00,2023-12-24 13:30:00,2023-12-24 13:40:00,2023-12-24 13:50:00,2023-12-24 14:00:00,2023-12-24 14:10:00,2023-12-24 14:20:00,2023-12-24 14:30:00,2023-12-24 14:40:00,2023-12-24 14:50:00,2023-12-24 15:00:00,2023-12-24 15:10:00,2023-12-24 15:20:00,2023-12-24 15:30:00,2023-12-24 15:40:00,2023-12-24 15:50:00,2023-12-24 16:00:00,2023-12-24 16:10:00,2023-12-24 16:20:00,2023-12-24 16:30:00,2023-12-24 16:40:00,2023-12-24 16:50:00,2023-12-24 17:00:00,2023-12-24 17:10:00,2023-12-24 17:20:00,2023-12-24 17:30:00,2023-12-24 17:40:00,2023-12-24 17:50:00,2023-12-24 18:00:00,2023-12-24 18:10:00,2023-12-24 18:20:00,2023-12-24 18:30:00,2023-12-24 18:40:00,2023-12-24 18:50:00,2023-12-24 19:00:00,2023-12-24 19:10:00,2023-12-24 19:20:00,2023-12-24 19:30:00,2023-12-24 19:40:00,2023-12-24 19:50:00,2023-12-24 20:00:00,2023-12-24 20:10:00,2023-12-24 20:20:00,2023-12-24 20:30:00,2023-12-24 20:40:00,2023-12-24 20:50:00,2023-12-24 21:00:00,2023-12-24 21:10:00,2023-12-24 21:20:00,2023-12-24 21:30:00,2023-12-24 21:40:00,2023-12-24 21:50:00,2023-12-24 22:00:00,2023-12-24 22:10:00,2023-12-24 22:20:00,2023-12-24 22:30:00,2023-12-24 22:40:00,2023-12-24 22:50:00,2023-12-24 23:00:00,2023-12-24 23:10:00,2023-12-24 23:20:00,2023-12-24 23:30:00,2023-12-24 23:40:00,2023-12-24 23:50:00
0,D15-FA-1,9.75,9.649999999999999,9.6,9.649999999999999,9.75,9.8,9.850000000000001,9.95,9.9,9.9,9.9,9.9,10.0,10.149999999999999,10.2,10.149999999999999,10.35,10.4,10.25,10.25,10.25,10.25,10.25,10.149999999999999,10.149999999999999,10.149999999999999,10.1,10.05,10.05,10.1,10.149999999999999,10.149999999999999,10.149999999999999,10.149999999999999,10.25,10.4,10.6,10.649999999999999,10.649999999999999,10.55,10.55,10.5,10.5,10.5,10.649999999999999,10.6,10.55,,10.55,10.4,,10.3,10.4,10.45,10.45,10.55,10.649999999999999,10.75,10.850000000000001,10.9,11.05,11.05,10.95,11.05,11.2,11.350000000000001,11.3,11.25,11.25,11.2,11.1,11.05,10.95,10.95,11.1,11.2,11.25,11.350000000000001,11.350000000000001,11.45,11.45,11.3,11.2,11.4,11.350000000000001,11.350000000000001,11.35,11.5,11.3,11.0,10.850000000000001,10.75,10.649999999999999,10.5,10.45,10.4,10.4,10.350000000000001,10.350000000000001,10.4,10.45,10.45,10.65,10.850000000000001,10.850000000000001,10.9,10.75,10.55,10.45,10.6,10.649999999999999,10.6,10.55,10.5,10.45,10.55,10.4,10.350000000000001,10.350000000000001,10.3,10.25,10.3,10.2,10.149999999999999,10.25,10.2,10.25,10.25,10.25,10.2,10.149999999999999,10.2,10.149999999999999,10.149999999999999,10.05,10.0,9.9,9.95,10.0,9.95,10.0,10.15,10.1,10.05
1,P11-B,10.95,10.850000000000001,10.4,10.149999999999999,10.1,9.9,9.55,9.55,9.6,9.55,9.7,9.6,9.7,10.100000000000001,10.4,10.4,10.25,10.35,10.4,10.6,10.8,10.95,11.05,11.1,11.149999999999999,11.149999999999999,11.149999999999999,11.149999999999999,11.25,11.3,11.350000000000001,11.350000000000001,11.4,11.4,11.4,11.45,11.45,11.45,11.45,11.55,11.55,11.55,11.55,11.5,11.55,11.55,11.55,11.55,11.6,11.649999999999999,11.649999999999999,11.649999999999999,11.649999999999999,11.7,11.7,11.75,11.75,11.8,11.75,11.75,11.75,11.850000000000001,11.9,11.95,11.95,11.95,12.0,12.05,12.05,12.149999999999999,12.2,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.350000000000001,12.25,12.25,12.35,12.5,12.55,12.55,12.65,12.649999999999999,12.75,12.7,12.7,12.75,12.649999999999999,12.6,12.6,12.55,12.5,12.4,12.4,12.350000000000001,12.350000000000001,12.350000000000001,12.4,12.4,12.25,12.25,12.25,12.3,12.25,12.25,12.2,12.25,12.25,12.3,12.3,11.95,11.95,12.149999999999999,12.05,12.05,12.05,12.05,12.0,11.95,12.0,12.0,12.0,11.850000000000001,11.9,11.9,11.8,12.0,12.05,12.0,11.95,11.95,11.850000000000001,11.75,11.75,11.75,11.8,11.95
2,K14-FA-1C,9.850000000000001,9.75,9.850000000000001,9.850000000000001,9.75,9.5,9.25,9.3,9.55,9.7,9.75,9.8,9.95,10.05,10.2,10.3,10.45,10.45,10.5,10.55,10.55,10.55,10.649999999999999,10.649999999999999,10.649999999999999,10.7,10.8,10.95,10.95,10.9,10.850000000000001,10.9,10.9,10.95,10.9,10.9,10.95,10.850000000000001,10.9,10.9,10.85,10.8,10.9,10.85,11.0,10.95,11.0,11.1,11.05,11.2,,11.149999999999999,11.149999999999999,11.149999999999999,11.149999999999999,11.2,11.350000000000001,11.45,11.350000000000001,11.350000000000001,11.350000000000001,11.350000000000001,11.4,11.4,11.350000000000001,11.3,11.3,11.350000000000001,11.4,11.350000000000001,11.350000000000001,11.5,11.649999999999999,11.65,11.9,11.95,11.95,11.95,12.1,12.149999999999999,12.149999999999999,12.149999999999999,12.2,12.2,12.25,12.3,12.350000000000001,12.350000000000001,12.350000000000001,12.25,12.2,12.25,12.25,12.25,12.25,12.350000000000001,12.35,12.25,11.9,11.65,12.0,12.0,11.95,12.2,12.3,12.2,12.25,12.2,12.35,12.3,12.05,11.8,11.55,11.45,11.55,11.6,11.45,11.4,11.3,11.399999999999999,11.55,11.600000000000001,11.4,11.2,11.1,11.2,11.1,10.9,10.95,11.1,10.95,10.95,11.1,11.2,11.2,11.149999999999999,11.2,11.25,11.2,11.25,11.149999999999999,11.149999999999999,11.149999999999999,11.149999999999999
3,A12-CPP,9.350000000000001,9.350000000000001,9.4,9.350000000000001,9.3,9.25,9.25,9.2,9.149999999999999,9.05,9.05,9.05,9.0,9.05,9.149999999999999,9.2,9.25,9.25,9.3,9.350000000000001,9.45,9.45,9.5,9.649999999999999,9.6,9.5,9.350000000000001,9.4,9.5,9.55,9.65,9.8,9.75,9.75,9.850000000000001,9.850000000000001,9.850000000000001,9.75,9.7,9.6,9.45,9.5,9.5,9.6,9.649999999999999,9.649999999999999,9.649999999999999,9.649999999999999,9.7,9.75,,10.0,10.0,9.95,9.850000000000001,9.850000000000001,9.850000000000001,10.0,10.0,10.0,10.149999999999999,10.2,10.1,9.95,9.9,9.850000000000001,9.7,9.649999999999999,9.649999999999999,9.7,9.95,10.2,10.25,10.25,10.25,10.15,10.1,10.2,10.350000000000001,10.3,10.25,10.15,10.15,10.350000000000001,10.5,10.65,10.45,10.3,10.3,10.1,10.15,10.3,10.25,10.25,10.2,10.1,10.1,10.15,10.2,10.3,10.3,10.25,10.25,10.2,10.149999999999999,10.149999999999999,10.149999999999999,10.2,10.05,10.0,10.05,9.9,9.850000000000001,9.850000000000001,9.850000000000001,9.850000000000001,9.95,9.9,9.9,9.850000000000001,9.850000000000001,9.95,10.05,10.05,10.05,10.0,9.9,9.95,9.85,9.75,9.75,9.7,9.7,9.7,9.7,9.6,9.55,9.5,9.45,9.45,9.4,9.3,9.25,9.25
4,L9-FF-1,10.05,10.149999999999999,10.2,10.2,10.25,10.25,10.25,10.149999999999999,10.149999999999999,10.1,10.149999999999999,10.05,9.95,9.850000000000001,9.95,10.05,10.149999999999999,10.3,10.5,10.649999999999999,10.8,10.850000000000001,10.850000000000001,10.850000000000001,10.95,10.95,11.05,11.1,11.149999999999999,11.1,11.149999999999999,11.1,11.149999999999999,11.1,11.1,11.149999999999999,11.3,11.149999999999999,11.1,11.149999999999999,11.1,11.1,11.2,,11.25,11.3,11.45,11.45,11.4,11.45,,11.6,11.649999999999999,11.7,11.649999999999999,11.649999999999999,11.75,11.8,11.75,11.75,11.8,11.75,11.7,11.8,11.95,11.850000000000001,11.95,11.95,11.850000000000001,11.9,12.100000000000001,12.05,12.149999999999999,12.1,12.0,12.05,12.0,11.9,11.95,11.95,12.1,12.3,12.350000000000001,12.4,12.45,12.4,12.350000000000001,12.4,12.4,12.350000000000001,12.45,12.4,12.2,12.45,12.4,12.45,12.5,12.45,12.45,12.55,12.6,12.6,12.05,12.35,11.8,10.649999999999999,10.5,10.850000000000001,11.25,11.8,11.7,11.45,11.3,11.350000000000001,11.5,11.55,11.7,11.649999999999999,11.65,11.7,11.7,11.75,11.7,11.6,11.7,11.85,11.9,11.9,11.65,11.6,11.6,11.5,11.5,11.45,11.45,11.55,11.55,11.45,11.55,11.6,11.7,11.7,11.649999999999999,11.55
5,IJMOND WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,J6-A,9.7,9.75,9.75,9.649999999999999,9.6,9.55,9.7,9.850000000000001,9.850000000000001,9.75,9.7,9.649999999999999,9.75,9.9,10.1,10.1,10.05,10.05,10.1,10.05,10.05,10.1,10.05,10.1,10.1,10.25,10.3,10.4,10.55,10.55,10.6,10.75,10.75,10.6,10.45,10.45,10.45,10.45,10.350000000000001,10.350000000000001,10.45,10.3,10.3,10.25,10.350000000000001,10.4,10.45,10.45,10.5,,,10.85,10.6,10.7,10.8,10.850000000000001,11.0,11.2,11.1,11.0,11.05,11.2,11.2,11.2,11.2,11.4,11.45,11.45,11.45,11.45,11.5,11.55,11.649999999999999,11.6,11.5,11.5,11.6,11.649999999999999,11.6,11.45,11.350000000000001,11.45,11.350000000000001,11.4,11.55,11.5,11.55,11.55,11.55,11.649999999999999,11.6,11.6,11.55,11.55,11.5,11.2,10.55,10.2,10.65,10.2,10.399999999999999,10.95,11.149999999999999,11.1,11.2,11.15,11.100000000000001,11.350000000000001,11.3,11.4,11.4,11.25,11.2,11.25,11.3,11.2,11.350000000000001,11.15,11.1,11.1,11.1,11.0,10.9,10.8,11.0,11.05,11.1,11.0,10.95,10.6,10.7,10.850000000000001,10.850000000000001,10.95,10.95,10.850000000000001,10.9,10.95,10.95,10.8,10.75,10.6,10.55,10.55
7,BG-OHVS2,9.850000000000001,9.75,9.75,9.7,9.649999999999999,9.7,9.7,9.7,9.7,9.7,9.75,9.8,9.8,9.850000000000001,9.850000000000001,9.8,9.850000000000001,9.850000000000001,9.850000000000001,9.9,9.9,9.850000000000001,9.8,9.9,9.95,10.05,10.149999999999999,10.149999999999999,10.25,10.3,10.3,10.350000000000001,10.4,10.350000000000001,10.350000000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.45,10.55,10.6,10.6,10.6,10.649999999999999,10.55,10.6,10.6,10.7,10.75,10.75,10.75,10.7,10.7,10.75,10.75,10.850000000000001,10.9,10.95,11.0,11.1,11.2,11.25,11.350000000000001,11.45,11.55,11.45,11.5,11.55,11.5,11.45,11.55,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.65,11.75,11.649999999999999,11.55,11.45,11.55,11.6,11.6,11.6,11.649999999999999,11.7,11.7,11.7,11.7,11.649999999999999,11.8,11.850000000000001,11.850000000000001,11.8,11.600000000000001,11.3,11.2,11.35,11.45,11.350000000000001,11.25,11.25,11.350000000000001,11.25,11.25,11.25,11.25,11.2,11.25,11.4,11.4,11.25,11.2,11.1,11.0,11.0,11.05,10.9,10.850000000000001,10.9,10.95,11.05,11.0,11.05,11.1,11.149999999999999,11.1,11.2,11.25,11.1,11.0,10.95,10.95,10.95,10.95,11.05,11.0,10.95
8,VOORSCHOTEN AWS,10.45,10.45,10.55,10.5,10.350000000000001,10.2,10.1,10.05,10.05,10.05,9.95,9.95,9.95,9.95,10.0,10.05,10.05,10.05,10.149999999999999,10.25,10.3,10.350000000000001,10.4,10.4,10.4,10.4,10.45,10.55,10.5,10.55,10.5,10.55,10.6,10.649999999999999,10.75,10.9,11.0,11.05,11.05,11.1,11.149999999999999,11.2,11.2,11.25,11.350000000000001,11.350000000000001,11.350000000000001,11.350000000000001,11.45,11.45,11.45,11.45,11.55,11.7,11.850000000000001,11.9,12.05,12.149999999999999,12.149999999999999,12.05,12.0,11.95,11.850000000000001,11.75,11.7,11.75,11.850000000000001,11.9,11.850000000000001,11.95,12.1,12.149999999999999,12.25,12.25,12.350000000000001,12.350000000000001,12.25,12.149999999999999,12.149999999999999,12.05,12.1,12.2,12.2,12.25,12.25,12.149999999999999,12.1,12.0,12.05,12.15,12.05,12.25,12.55,12.55,12.45,12.35,12.25,12.25,12.149999999999999,12.05,12.05,12.05,12.1,12.05,12.05,12.149999999999999,12.149999999999999,12.05,12.149999999999999,12.149999999999999,12.05,12.0,11.95,11.95,12.05,12.0,11.95,11.9,11.95,12.05,12.0,11.9,11.9,12.0,12.05,12.05,12.149999999999999,12.1,12.2,12.149999999999999,12.149999999999999,12.2,12.3,12.350000000000001,12.4,12.4,12.45,12.4,12.4,12.3,12.25,12.1,11.95,11.9
9,Hollandse Kust Zuid Alfa (HKZA),10.75,10.7,10.45,10.350000000000001,10.3,10.1,10.1,10.15,10.05,10.0,9.85,9.649999999999999,9.65,9.75,9.6,9.55,9.55,9.75,9.850000000000001,9.8,9.8,9.95,9.95,10.15,10.5,10.85,10.9,10.95,10.9,10.75,10.8,11.0,11.1,11.1,11.25,11.149999999999999,11.25,11.25,11.25,11.2,11.149999999999999,11.149999999999999,11.25,11.149999999999999,11.149999999999999,11.1,11.05,11.2,11.25,11.3,11.3,11.35,11.45,11.45,11.55,11.55,11.55,11.6,11.55,11.45,11.3,11.05,11.1,10.95,11.15,11.25,11.3,11.3,11.350000000000001,11.3,11.350000000000001,11.5,11.7,11.8,11.9,11.9,11.85,11.75,11.7,11.4,11.55,11.5,11.6,11.649999999999999,11.649999999999999,11.55,11.6,11.55,11.649999999999999,11.8,11.850000000000001,11.95,12.149999999999999,12.1,12.05,11.95,11.9,11.850000000000001,11.850000000000001,11.850000000000001,11.850000000000001,11.9,12.05,12.149999999999999,12.05,12.1,12.149999999999999,12.149999999999999,12.2,12.2,12.149999999999999,12.15,12.05,12.0,11.95,11.850000000000001,11.850000000000001,11.75,11.850000000000001,11.8,11.35,11.3,11.6,11.649999999999999,11.649999999999999,11.649999999999999,11.649999999999999,11.6,11.7,11.75,11.75,11.75,11.45,11.45,11.65,11.6,11.75,11.75,11.85,11.649999999999999,11.55,11.55,11.6,11.75
